lat_deg,lat_min,long_deg,long_min,bearing,speed
42,17.63469999999961,-83,-42.79240000000027,183.65,0.06
42,17.63469999999961,-83,-42.79240000000027,131.35,0.19
42,17.63469999999961,-83,-42.79240000000027,216.6,0.05
42,17.63469999999961,-83,-42.79240000000027,201.49,0.06
42,17.63469999999961,-83,-42.79240000000027,150.28,0.1
42,17.63469999999961,-83,-42.79240000000027,139.02,0.11
42,17.63469999999961,-83,-42.79240000000027,144.0,0.12
42,17.63469999999961,-83,-42.79240000000027,160.17,0.25
42,17.634900000000016,-83,-42.79240000000027,32.52,0.07
42,17.634900000000016,-83,-42.79240000000027,116.65,0.1
42,17.634900000000016,-83,-42.79249999999956,191.98,0.09
42,17.634900000000016,-83,-42.79249999999956,127.62,0.12
42,17.634900000000016,-83,-42.79249999999956,145.14,0.12
42,17.634900000000016,-83,-42.79249999999956,152.69,0.1
42,17.634900000000016,-83,-42.79249999999956,131.46,0.18
42,17.634900000000016,-83,-42.79249999999956,133.5,0.2
42,17.634900000000016,-83,-42.79240000000027,143.71,0.13
42,17.634900000000016,-83,-42.79249999999956,141.78,0.11
42,17.634900000000016,-83,-42.79249999999956,145.4,0.1
42,17.634900000000016,-83,-42.79249999999956,139.11,0.11
42,17.634900000000016,-83,-42.79249999999956,145.71,0.11
42,17.634900000000016,-83,-42.79249999999956,140.68,0.11
42,17.634900000000016,-83,-42.79249999999956,141.6,0.12
42,17.634900000000016,-83,-42.79249999999956,142.55,0.1
42,17.634900000000016,-83,-42.79249999999956,139.09,0.11
42,17.634900000000016,-83,-42.79249999999956,143.05,0.11
42,17.634900000000016,-83,-42.79249999999956,142.11,0.12
42,17.634900000000016,-83,-42.79249999999956,141.95,0.12
42,17.634900000000016,-83,-42.79249999999956,147.75,0.12
42,17.634900000000016,-83,-42.79249999999956,138.82,0.1
42,17.634900000000016,-83,-42.79249999999956,140.96,0.13
42,17.634900000000016,-83,-42.79249999999956,145.36,0.12
42,17.634900000000016,-83,-42.79249999999956,141.68,0.11
42,17.634900000000016,-83,-42.79249999999956,141.89,0.1
42,17.634900000000016,-83,-42.79249999999956,139.51,0.12
42,17.634900000000016,-83,-42.79249999999956,147.48,0.12
42,17.634900000000016,-83,-42.792600000000675,138.24,0.09
42,17.634900000000016,-83,-42.792600000000675,139.91,0.12
42,17.634900000000016,-83,-42.792600000000675,140.28,0.11
42,17.634900000000016,-83,-42.792600000000675,142.0,0.11
42,17.634900000000016,-83,-42.792600000000675,144.08,0.14
42,17.634900000000016,-83,-42.792600000000675,138.07,0.1
42,17.634900000000016,-83,-42.792600000000675,144.52,0.13
42,17.634900000000016,-83,-42.792600000000675,137.62,0.11
42,17.634900000000016,-83,-42.792600000000675,150.87,0.11
42,17.634900000000016,-83,-42.792600000000675,129.32,0.19
42,17.63500000000022,-83,-42.792600000000675,137.57,0.13
42,17.63500000000022,-83,-42.792600000000675,134.36,0.17
42,17.63500000000022,-83,-42.792600000000675,191.73,0.09
42,17.63500000000022,-83,-42.79269999999997,139.26,0.13
42,17.63500000000022,-83,-42.79269999999997,152.65,0.1
42,17.63500000000022,-83,-42.79269999999997,136.98,0.12
42,17.63500000000022,-83,-42.79269999999997,145.25,0.11
42,17.63500000000022,-83,-42.79269999999997,140.93,0.12
42,17.63500000000022,-83,-42.79269999999997,134.86,0.13
42,17.63500000000022,-83,-42.79269999999997,144.33,0.12
42,17.63500000000022,-83,-42.79269999999997,136.5,0.11
42,17.63500000000022,-83,-42.79269999999997,134.0,0.13
42,17.634900000000016,-83,-42.79269999999997,140.76,0.13
42,17.634900000000016,-83,-42.79269999999997,137.8,0.13
42,17.634900000000016,-83,-42.79269999999997,145.61,0.12
42,17.634900000000016,-83,-42.79269999999997,141.32,0.13
42,17.634900000000016,-83,-42.79269999999997,132.61,0.12
42,17.634900000000016,-83,-42.79269999999997,143.07,0.1
