lat_deg,lat_min,long_deg,long_min,bearing,speed
0.0,7.168775757308598e-08,-0.0,-2.556978599161881e-09,1.7882470198353655,0.061753199287589274
0.0,7.71744744891023e-08,-0.0,-2.5566364294985255e-09,1.5462958746306419,0.06190412987374831
0.0,8.236211078836891e-08,-0.0,-2.9487966597758733e-09,1.3715665250823508,0.0601160744477234
0.0,8.718143922791872e-08,-0.0,-3.992442053418099e-09,3.7524532413057274,0.05589558710878942
0.0,9.186178012193447e-08,-0.0,-5.274611665005388e-09,1.1678845192082123,0.0539800511980767
0.0,9.66494105231836e-08,-0.0,-6.414436577980105e-09,2.247430628934457,0.05394585105766081
0.0,1.0174739119093492e-07,-0.0,-7.139965941945872e-09,3.7626446042482398,0.055533205771840864
0.0,1.0690852894572006e-07,-0.0,-7.286982986367845e-09,0.8509889531441472,0.05923797394469434
0.0,1.1167101642261998e-07,-0.0,-7.171128072288994e-09,4.164194653970951,0.05572989730755629
0.0,1.1604480736002239e-07,-0.0,-7.0609988884675405e-09,3.068250278502607,0.05021444073615912
0.0,1.2011307108088959e-07,-0.0,-6.883988317999037e-09,2.739364184261427,0.04708508638316949
0.0,1.2430994180857218e-07,-0.0,-6.728713175070133e-09,3.0670625871274293,0.0434923709998459
0.0,1.2903710471424007e-07,-0.0,-6.823923743487925e-09,4.318688314771823,0.049935578779485144
0.0,1.339857669324382e-07,-0.0,-7.083556176822663e-09,2.619356409015419,0.0552663491810038
0.0,1.390222312302249e-07,-0.0,-7.265143327760537e-09,3.1550137424577924,0.054938465289927706
0.0,1.442060199103795e-07,-0.0,-7.422193292046705e-09,2.6595981640108746,0.05715842449917622
0.0,1.49565137397528e-07,-0.0,-7.815183481226848e-09,0.839811158342177,0.05818475184134487
0.0,1.5527913451224186e-07,-0.0,-8.360267896200871e-09,1.312848715284497,0.06137169462675432
0.0,1.6122025269096464e-07,-0.0,-8.791781731197129e-09,3.059107170698073,0.06628214881972513
0.0,1.6702658751515344e-07,-0.0,-9.094834191476628e-09,3.749537188656382,0.0662062999564918
0.0,1.7260510753598082e-07,-0.0,-9.38249302652979e-09,2.265237238451014,0.06309803573537605
0.0,1.7787393790695392e-07,-0.0,-9.471092910718286e-09,3.370827182978525,0.061128679999374935
0.0,1.8298286992993118e-07,-0.0,-9.010582899948195e-09,3.7401143518375806,0.05615983303828981
0.0,1.8857325989001449e-07,-0.0,-8.116310667218147e-09,2.3599385638117676,0.05814390593367342
0.0,1.9486219690141454e-07,-0.0,-6.830342466869824e-09,3.5160828751136806,0.0677639454289757
0.0,2.016476431617569e-07,-0.0,-4.981865084154359e-09,3.0984236619108256,0.075078353239574
0.0,2.0902400998823788e-07,-0.0,-2.9715172284212765e-09,4.276893773010106,0.08139055696469524
0.0,2.167395362090179e-07,-0.0,-1.1088465137499672e-09,2.923323300278442,0.08869798698219017
0.0,2.2424332546894512e-07,0.0,1.0052579941234968e-09,2.824148885583313,0.08781786564022
0.0,2.3176739564039517e-07,0.0,3.5189331733288257e-09,2.9556015722823568,0.08570487263232875
0.0,2.3963622626822613e-07,0.0,5.749870751262566e-09,4.150920461322092,0.09071657077592517
0.0,2.477361740010849e-07,0.0,7.298357547619758e-09,2.048235390400259,0.0914162574379519
0.0,2.558693742125738e-07,0.0,8.612413926696024e-09,1.8684312568305348,0.09209946458364751
0.0,2.639615612391714e-07,0.0,1.0028444887694554e-08,3.92047887971228,0.09112495724853185
0.0,2.722600358877161e-07,0.0,1.127001782890114e-08,2.3413860449262525,0.0915746374545404
0.0,2.811401602477426e-07,0.0,1.1858554068765427e-08,3.101503669735485,0.09511272347510004
0.0,2.9062494458328333e-07,0.0,1.2128261886045174e-08,2.1049170774333286,0.1030619537451893
0.0,3.006000152677179e-07,0.0,1.2947568618961686e-08,2.463496452580471,0.10796775914874666
0.0,3.1107646404261104e-07,0.0,1.4078148131505064e-08,4.832333316251146,0.11480747518747472
0.0,3.2200566350354213e-07,0.0,1.495385880250987e-08,3.524104757423581,0.11955548715560975
0.0,3.331692873014494e-07,0.0,1.5748289087114314e-08,1.2584358070810175,0.12429865400399258
0.0,3.441126778108774e-07,0.0,1.6564162415653133e-08,3.537842595599754,0.12459874661854492
0.0,3.5488367097368675e-07,0.0,1.7421920138235585e-08,0.2749842724869951,0.11944661427485666
0.0,3.658546987013688e-07,0.0,1.8496133217869072e-08,3.887997481195732,0.1208514326021441
0.0,3.7699677559380377e-07,0.0,1.9557450190731625e-08,2.536579835482563,0.12431874472000994
0.0,3.883713696077633e-07,0.0,2.0060366436391215e-08,0.7778634317239239,0.12461879075752454
0.0,4.005705022389075e-07,0.0,2.0088658822448318e-08,1.2035171467241028,0.12874614692533382
0.0,4.136100364300893e-07,0.0,1.9826541739394603e-08,2.8892759319015786,0.1425570514819007
0.0,4.2709369346345805e-07,0.0,1.926759271319717e-08,3.15078439886691,0.14752353742898955
0.0,4.4112292426702924e-07,0.0,1.852925126543549e-08,4.356126484268098,0.15260180327254866
0.0,4.555158220775562e-07,0.0,1.7422008914419035e-08,3.5336108781075573,0.1598303494133165
0.0,4.6969951809558034e-07,0.0,1.6151453734950152e-08,1.646502621455577,0.16125597517066587
0.0,4.833227703661184e-07,0.0,1.5129262528677024e-08,1.997498881237238,0.15544441430174302
